news_title,news_link
"[고든 정의 TECH+] 구글, 자체 개발 동영상 인코딩 프로세서로 인텔 의존 낮춘다",https://nownews.seoul.co.kr/news/newsView.php?id=20210608601002&wlog_tag3=naver
데이터 관리 효율 높이는 4가지 최적화 방안은?,http://www.nextdaily.co.kr/news/article.html?id=20210226800017
"한전KDN, SW교육 선순환모델 창출로 교육기부 대상 수상",http://www.breaknews.com/778247
"취준생, 겨울방학 동안 준비하면 좋은 IT 자격증",http://edu.donga.com/?p=article&ps=view&at_no=20210121112812428198
Women's role in technology discussed in Finnish embassy webinar,https://www.koreatimes.co.kr/www/nation/2021/05/176_308115.html?na
"네이버, 베트남 우정통신대학과 AI 연구…현지 두 번째 연구 거점",http://www.edaily.co.kr/news/newspath.asp?newsid=03463686629053184
설 연휴 채용 주목해야 할 기업 어디?,http://www.breaknews.com/785980
"금융계, IT 개발자 채용 바람..원서접수 시작 어디?",http://www.breaknews.com/791354
"대한민국, 3대 국제표준화기구 선언한 표준특허 세계 1위",http://www.epnc.co.kr/news/articleView.html?idxno=207724
설 연휴기간 원서 접수 가능 주요 기업 어디?,http://www.breaknews.com/785890
Gov't wants more control over delivery companies,https://koreajoongangdaily.joins.com/2020/12/21/business/economy/platform-workers-baemin-Labor-Ministry/20201221175700535.html
"교육업계, 다양한 영단어 암기 학습 콘텐츠 선봬",http://moneys.mt.co.kr/news/mwView.php?no=2021060209308061095
"[기획] 대학가, 재학생 디지털 역량 강화 위해 '코딩 자격증' 도입",http://www.dailysmart.co.kr/news/articleView.html?idxno=43908
"한국, 3대 국제표준화기구에 선언한 표준특허 세계 1위",http://www.cctvnews.co.kr/news/articleView.html?idxno=225481
"President Trump: Visit the Children, Not the Wall",https://www.nytimes.com/2021/01/13/opinion/letters/trump-immigration.html?partner=naver
"심평원, '환자안전·삶의 질' 중심으로 적정성 평가 강화한다",http://www.newsmaker.or.kr/news/articleView.html?idxno=110298
조선대 SW중심대학사업단-한전KDN-전남도교육청 ‘제4기 SW교육강사 양성과정’ 운영,https://www.wikitree.co.kr/articles/609581
"Opening The NFT Door: Interview with Nikita Ngan Nguyen, CEO & Co-founder of NFTify",http://www.koreaittimes.com/news/articleView.html?idxno=105803
"제천기적의도서관, 충북도 과학문화 민간활동지원사업 2년 연속 선정",http://www.breaknews.com/801305
Apple readying to open Apple Developer Academy in Korea: vice pres Jackson,http://pulsenews.co.kr/view.php?year=2021&no=78757
Korean coding ed startup Luxrobo wins Worlddidac Outstanding Award 2020,http://pulsenews.co.kr/view.php?year=2020&no=1115163
The Luckiest Workers in America? Teenagers.,https://www.nytimes.com/2021/05/30/business/economy/pandemic-jobs-teenagers.html?partner=naver
LUXROBO to launch at-home learning tool for computer coding in N. America,http://pulsenews.co.kr/view.php?year=2020&no=1084296
Do Children Really Need to Learn to Code?,https://www.nytimes.com/2021/01/02/opinion/teaching-coding-schools-india.html?partner=naver
"안양시 동안구 6개 도서관, 겨울방학 온라인 특강",http://www.breaknews.com/777879
"퀀텀 노에미 그레이즈도르프, ""기업이 데이터 가치를 인식해야""... 2021 데이터 관리 방안 제시",http://www.aitimes.kr/news/articleView.html?idxno=20391
The M.T.A. Is Breached by Hackers as Cyberattacks Surge,https://www.nytimes.com/2021/06/02/nyregion/mta-cyber-attack.html?partner=naver
Nexon fosters young talent in coding sector,http://www.koreatimes.co.kr/www/tech/2020/09/133_296736.html
2020년 취업준비비용 평균 378만원..어학점수 획득 가장 높아,http://www.breaknews.com/779882
"한라대, 지역 고교와의 '지역 인재 육성'을 위한 지속가능한 협력 플랫폼 구축",http://www.veritas-a.com/news/articleView.html?idxno=370740
Nexon cultivates coding hopefuls for ‘4th industrial revolution’,http://www.koreaherald.com/view.php?ud=20200827000897
[MIK HOT SPOT_KTVF] SuperTrack asks children's imagination Growing with One The Code coding platform!,http://us.aving.net/news/view.php?articleId=1585899&Branch_ID=us&rssid=naver&mn_name=news
"코딩 능력평가 시험 확산추세··· COS, COS Pro 도입 활발",http://www.lcnews.co.kr/news/articleView.html?idxno=12449
"코딩교육 브랜드 오스모 코딩(Osmo Coding), 24일 국내 공식 론칭",https://www.donga.com/news/article/all/20200923/103074794/2
최대한 가볍게 만들면서 기능은 유지 [특별기획 AI 2030] ⑳ 모델 경량화,http://www.aitimes.com/news/articleView.html?idxno=136725
"디지털 비즈니스 확대로 폭증하는 데이터, ""어떻게 관리-운영할 것인가?"" ②",https://www.itbiznews.com/news/articleView.html?idxno=30619
"네이버, 베트남에 두 번째 연구 거점 마련",https://www.itdaily.kr/news/articleView.html?idxno=203010
"취준생 고민탈출, 겨울방학 이용 따기 좋은 IT자격증은?",http://www.lcnews.co.kr/news/articleView.html?idxno=12190
카카오뱅크 두자릿수 규모 경력개발자 공채,http://yna.kr/AKR20210302074100002?did=1195m
The Untold Story of the NFT Boom,https://www.nytimes.com/2021/05/12/magazine/nft-art-crypto.html?partner=naver
"전남도, 도민 디지털 역량강화 무료 교육",http://www.breaknews.com/809397
'2020 제주로 on coding 교육 프로그램' 본격 운영,http://www.headlinejeju.co.kr/news/articleView.html?idxno=419419
New Mask Rules Are Tricky for Business,https://www.nytimes.com/2021/05/14/business/dealbook/mask-rules-business.html?partner=naver
The Secret Psychology of Sneaker Colors,https://www.nytimes.com/2021/05/24/style/sneaker-color-psychology.html?partner=naver
"코딩 몰라도 프로그램 개발···LG CNS, '데브온 NCD' 일반에 무료 공개",http://www.etnews.com/20210302000044
"부천시립도서관, 겨울방학 맞아 23개 독서진흥 프로그램 운영",http://www.breaknews.com/774055
코딩(coding)으로 창의적으로 놀아요,http://moneys.mt.co.kr/news/mwView.php?no=2019101408158036373
[GITEX 2019] Coding block Cubroid sells all in Dubai market,http://us.aving.net/news/view.php?articleId=1538956&Branch_ID=us&rssid=naver&mn_name=news
LUXROBO to launch at-home learning tool for computer coding in N. America,http://pulsenews.co.kr/view.php?year=2020&no=1084296
Do Children Really Need to Learn to Code?,https://www.nytimes.com/2021/01/02/opinion/teaching-coding-schools-india.html?partner=naver
"안양시 동안구 6개 도서관, 겨울방학 온라인 특강",http://www.breaknews.com/777879
"퀀텀 노에미 그레이즈도르프, ""기업이 데이터 가치를 인식해야""... 2021 데이터 관리 방안 제시",http://www.aitimes.kr/news/articleView.html?idxno=20391
The M.T.A. Is Breached by Hackers as Cyberattacks Surge,https://www.nytimes.com/2021/06/02/nyregion/mta-cyber-attack.html?partner=naver
Nexon fosters young talent in coding sector,http://www.koreatimes.co.kr/www/tech/2020/09/133_296736.html
조선대 SW중심대학사업단-광주 북구 '2020 AI/SW 융합 로봇코딩교육' 성료,http://www.veritas-a.com/news/articleView.html?idxno=350324
2020년 취업준비비용 평균 378만원..어학점수 획득 가장 높아,http://www.breaknews.com/779882
"한라대, 지역 고교와의 '지역 인재 육성'을 위한 지속가능한 협력 플랫폼 구축",http://www.veritas-a.com/news/articleView.html?idxno=370740
Nexon cultivates coding hopefuls for ‘4th industrial revolution’,http://www.koreaherald.com/view.php?ud=20200827000897
